libelle;cours;variation;volume;isin;scraped_at
ALTEN;80.05;19.84;173839;FR0000071946;2026-07-29 10:24:13
SOPRA STERIA;194.7;13.07;143820;FR0000050809;2026-07-29 10:24:12
KERING;280.2;11.86;408888;FR0000121485;2026-07-29 10:24:11
BUREAU VERITAS;29.34;7.39;1115283;FR0006174348;2026-07-29 10:24:09
ATOS GROUP;33.72;5.64;89380;FR001400X2S4;2026-07-29 10:24:08
VUSION;137.3;5.37;24866;FR0010282822;2026-07-29 10:24:07
NEXANS;130.3;5.0;115502;FR0000044448;2026-07-29 10:24:05
SEB;59.35;3.13;35173;FR0000121709;2026-07-29 10:24:05
CAPGEMINI;104.65;2.9;387556;FR0000125338;2026-07-29 10:24:04
STELLANTIS;5.209;2.72;2558738;NL00150001Q9;2026-07-29 10:24:03
FORVIA (EX FAURECIA);9.328;2.71;222972;FR0000121147;2026-07-29 10:24:01
GTT (GAZTRANSPORT ET TEC.);190.9;2.63;35428;FR0011726835;2026-07-29 10:24:00
RENAULT;27.8;2.39;275671;FR0000131906;2026-07-29 10:23:58
CLARIANE;4.042;1.92;68797;FR0010386334;2026-07-29 10:23:57
TOTALENERGIES;75.12;1.82;753580;FR0000120271;2026-07-29 10:23:56
JCDECAUX;22.48;1.81;64098;FR0000077919;2026-07-29 10:23:55
OPMOBILITY;13.06;1.79;21672;FR0000124570;2026-07-29 10:23:53
MERCIALYS;12.18;1.67;67529;FR0010241638;2026-07-29 10:23:52
UBISOFT;5.562;1.61;383002;FR0000054470;2026-07-29 10:23:50
ERAMET;42.86;1.61;11765;FR0000131757;2026-07-29 10:23:51
MEDINCELL;25.62;1.51;17104;FR0004065605;2026-07-29 10:23:48
MAUREL & PROM;8.045;1.51;63661;FR0000051070;2026-07-29 10:23:49
ABIVAX;110.4;1.47;12081;FR0012333284;2026-07-29 10:23:46
EMEIS;13.8;1.47;32040;FR001400NLM4;2026-07-29 10:23:46
WENDEL;82.75;1.35;8335;FR0000121204;2026-07-29 10:23:44
