titre,url,source,date_publi,resume,score_alerte
La France menace d’interdire 31 nouveaux sites pornos,https://www.01net.com/actualites/la-france-menace-dinterdire-31-nouveaux-sites-pornos.html,www.01net.com,"Thu, 30 Jul 2026 08:38:06 +0000","L'Arcom a placé dans son viseur 31 nouveaux sites pornographiques pour absence de vérification de l'âge. 13 de ces sites disposent de 48 heures pour se conformer à la décision, tandis que 13 autres, hébergés à l’étranger, ont été placés sous la surveillance européenne.",0
Incendies : Tesla offre la charge gratuite dans 5 Superchargeurs de France,https://www.01net.com/actualites/incendies-tesla-offre-la-charge-gratuite-dans-5-superchargeurs-de-france.html,www.01net.com,"Wed, 29 Jul 2026 09:31:55 +0000","Face aux feux de forêt qui ravagent depuis plusieurs jours le sud de la France, Tesla a décidé d'offrir la recharge gratuite dans cinq Superchargeurs proches des zones sinistrées.",1
"737 km d’autonomie, recharge en 9 minutes et luxe inouï : ce monstre chinois arrive officiellement en France",https://www.01net.com/actualites/737-km-autonomie-recharge-9-minutes-luxe-inoui-zeekr-9x-arrive-officiellement-france.html,www.01net.com,"Wed, 29 Jul 2026 07:00:34 +0000","Zeekr élargit sa gamme française avec le 9X. Ce SUV XXL, qui atteint un niveau de raffinement rarement vu, délivre jusqu’à 737 km d’autonomie et aligne une recharge rapide sous les 10 minutes. De quoi en faire une menace sérieuse chez les premiums allemands.",2
Fin des jeux PS5 physiques : les joueurs PlayStation organisent un boycott mondial,https://www.01net.com/actualites/fin-des-jeux-ps5-physiques-les-joueurs-playstation-organisent-un-boycott-mondial.html,www.01net.com,"Wed, 29 Jul 2026 06:31:39 +0000","Éteindre la console pour se faire entendre : du 23 au 30 août, des joueurs promettent de bouder PlayStation, ses serveurs et sa boutique. En France, une pétition interpelle déjà la ministre chargée du Numérique.",1
Le tribunal de Paris rejette la demande de Gabriel Attal visant à interdire au RN d’utiliser le mot « renaissance » dans ses slogans de campagne,https://www.lemonde.fr/election-presidentielle-2027/article/2026/07/30/le-tribunal-de-paris-rejette-la-demande-de-gabriel-attal-visant-a-interdire-au-rn-d-utiliser-le-mot-renaissance_6737022_6205049.html,www.lemonde.fr,"Thu, 30 Jul 2026 15:53:13 +0200","Les juges ont statué après la saisine du parti Renaissance, qui contestait une affiche de Marine Le Pen dévoilée début juillet et proclamant « Pour la France, la renaissance ».",0
Canadair : la France est-elle bien dotée par rapport à ses voisins européens ?,https://www.lefigaro.fr/conjoncture/canadairs-la-france-est-elle-bien-dotee-par-rapport-a-ses-voisins-europeens-20260730,www.lefigaro.fr,"Thu, 30 Jul 2026 15:06:41 +0200","Alors que les incendies gagnent en intensité en Europe, les Canadair restent une capacité aérienne rare et stratégique. Seuls quelques pays du continent disposent de ces bombardiers d’eau amphibies.",1
Où sont les principaux incendies en Europe ?,https://www.lefigaro.fr/actualite-france/ou-sont-les-principaux-incendies-en-europe-20260728,www.lefigaro.fr,"Thu, 30 Jul 2026 16:26:11 +0200","CARTE – Si la France reste particulièrement touchée par les feux de forêt, plusieurs pays du Vieux Continent sont eux aussi en proie aux flammes.",1
"Gironde, Var, Côte-d’Or, Fontainebleau... Visualisez en carte les feux de forêt qui ravagent la France",https://www.lefigaro.fr/actualite-france/visualisez-en-cartes-les-feux-de-foret-en-cours-en-france-20260729,www.lefigaro.fr,"Thu, 30 Jul 2026 15:59:19 +0200",CARTE – Environ 115.000 hectares ont été parcourus par les incendies dans l’Hexagone en 2026. Visualisez les zones touchées et l’évolution de la situation grâce à notre carte en direct.,1
"Prise en charge médicale, remontée en civière... Ce que l'on sait de l'opération de secours pour déloger le spéléologue coincé dans un gouffre des Pyrénées-Atlantiques",https://www.bfmtv.com/societe/prise-en-charge-medicale-remontee-en-civiere-ce-que-l-on-sait-de-l-operation-de-secours-pour-deloger-le-speleologue-coince-dans-un-gouffre-des-pyrenees-atlantiques_AV-202607300392.html,www.bfmtv.com,"Thu, 30 Jul 2026 14:36:05 GMT","Haut lieu de la spéléologie en France, le gouffre de La Pierre Saint-Martin (Pyrénées-Atlantiques) est le théâtre d'une opération de secours pour remonter un homme blessé, coincé à 350 mètres sous terre depuis mercredi 29 juillet.",0
"DIRECT. Incendies en France: face à un feu ""stabilisé"" en Gironde, 84.000 personnes autorisées à rentrer chez elles",https://www.bfmtv.com/meteo/secheresse/direct-incendies-en-france-la-gironde-le-var-et-la-cote-d-or-toujours-en-proie-aux-flammes-23-departements-en-vigilance-orange-canicule_LN-202607300035.html,www.bfmtv.com,"Thu, 30 Jul 2026 03:43:03 GMT","La France est toujours en proie aux flammes, avec des incendies en cours en Gironde, dans le Var et en Côte-d'Or. 21 départements sont encore en vigilance orange canicule ce jeudi 30 juillet mais les autorités fondent beaucoup d'espoir sur la baisse des températures annoncée par Météo-France, notamm",1
"Incendies: l'Union européenne doit se ""donner les moyens de faire face à ces catastrophes""",https://www.bfmtv.com/international/video-incendies-l-union-europeenne-doit-se-donner-les-moyens-de-faire-face-a-ces-catastrophes_VN-202607300342.html,www.bfmtv.com,"Thu, 30 Jul 2026 11:51:20 GMT","Hadja Lahbib, commissaire européenne à la gestion des crises, s'est rendue en Gironde ce jeudi 30 juillet pour parler de l'aide des pays européens à la France dans la lutte contre les incendies.",1
"Incendies: l'Union européenne a pu ""répondre à toutes les demandes"" de l'ensemble des pays",https://www.bfmtv.com/environnement/video-incendies-l-union-europeenne-a-pu-repondre-a-toutes-les-demandes-de-l-ensemble-des-pays_VN-202607300338.html,www.bfmtv.com,"Thu, 30 Jul 2026 11:42:59 GMT","Hadja Lahbib, commissaire européenne à la gestion des crises, s'est rendue en Gironde ce jeudi 30 juillet pour parler de l'aide des pays européens à la France dans la lutte contre les incendies.",1
